script_id,title,year,gross,imdb_character_name,words,gender,age,Nominado,Ganador,,,title,year,nominado,ganado
5380,Beasts of No Nation,2015,0,agu,2206,m,NULL,,,,,The Cocoanuts,1929,,
5380,Beasts of No Nation,2015,0,bbc corresponde,107,m,NULL,,,,,The Last Flight,1931,,
5380,Beasts of No Nation,2015,0,big brother,122,m,NULL,,,,,Frankenstein,1931,,
5380,Beasts of No Nation,2015,0,commandant,2914,m,43,,,,,American Madness,1932,,
5380,Beasts of No Nation,2015,0,deputy,129,m,NULL,,,,,Grand Hotel,1932,1,1
5380,Beasts of No Nation,2015,0,father,498,m,NULL,,,,,Trouble in Paradise,1932,,
5380,Beasts of No Nation,2015,0,hope,118,m,NULL,,,,,What Price Hollywood?,1932,,
5380,Beasts of No Nation,2015,0,mother,104,f,NULL,,,,,Duck Soup,1933,,
5380,Beasts of No Nation,2015,0,preacher,185,m,NULL,,,,,Mystery of the Wax Museum,1933,,
5380,Beasts of No Nation,2015,0,supreme command,360,m,NULL,,,,,King Kong,1933,,
5388,Bridge of Spies,2015,74,agent williams,532,m,53,1,0,,,The Thin Man,1934,1,0
5388,Bridge of Spies,2015,74,allen dulles,433,m,72,1,0,,,Transatlantic Merry-Go-Round,1934,,
5388,Bridge of Spies,2015,74,bates,132,m,36,1,0,,,Mr. Deeds Goes to Town,1936,1,0
5388,Bridge of Spies,2015,74,francis gary po,123,m,NULL,1,0,,,Lost Horizon,1937,1,0
5388,Bridge of Spies,2015,74,frederic pryor,104,m,NULL,1,0,,,The Wizard of Oz,1939,1,0
5388,Bridge of Spies,2015,74,harald ott,173,m,66,1,0,,,Ninotchka,1939,1,0
5388,Bridge of Spies,2015,74,hoffman,278,m,NULL,1,0,,,Mr. Smith Goes to Washington,1939,1,0
5388,Bridge of Spies,2015,74,ivan schischkin,623,m,50,1,0,,,His Girl Friday,1940,,
5388,Bridge of Spies,2015,74,james b. donova,4353,m,59,1,0,,,The Grapes of Wrath,1940,1,0
5388,Bridge of Spies,2015,74,lynn goodnough,147,m,NULL,1,0,,,Citizen Kane,1941,1,0
5388,Bridge of Spies,2015,74,mary donovan,272,f,47,1,0,,,Meet John Doe,1941,,
5388,Bridge of Spies,2015,74,mr. michener,272,m,NULL,1,0,,,Sullivan's Travels,1941,,
5388,Bridge of Spies,2015,74,roger donovan,249,m,NULL,1,0,,,Dr. Jekyll and Mr. Hyde,1941,,
5388,Bridge of Spies,2015,74,rudolf abel,738,m,55,1,0,,,I Walked with a Zombie,1943,,
5388,Bridge of Spies,2015,74,thomas watters,239,m,79,1,0,,,The Leopard Man,1943,,
5388,Bridge of Spies,2015,74,wolfgang vogel,563,m,53,1,0,,,The Seventh Victim,1943,,
5389,Brooklyn,2015,31,diana,252,f,NULL,1,0,,,Double Indemnity,1944,1,0
5389,Brooklyn,2015,31,dolores,142,f,NULL,1,0,,,Tall in the Saddle,1944,,
5389,Brooklyn,2015,31,dorothy,170,f,25,1,0,,,The Curse of the Cat People,1944,,
5389,Brooklyn,2015,31,eilis,3407,f,21,1,0,,,The Body Snatcher,1945,,
5389,Brooklyn,2015,31,father flood,778,m,66,1,0,,,Isle of the Dead,1945,,
5389,Brooklyn,2015,31,frankie doran,169,m,NULL,1,0,,,The Lost Weekend,1945,1,1
5389,Brooklyn,2015,31,georgina,423,f,41,1,0,,,It's a Wonderful Life,1946,1,0
5389,Brooklyn,2015,31,jim farrell,715,m,32,1,0,,,The Lady from Shanghai,1947,,
5389,Brooklyn,2015,31,mary,628,f,NULL,1,0,,,Station West,1948,,
5389,Brooklyn,2015,31,miss fortini,401,f,35,1,0,,,Mr. Blandings Builds His Dream House,1948,,
5389,Brooklyn,2015,31,miss kelly,405,f,60,1,0,,,Call Northside 777,1948,,
5389,Brooklyn,2015,31,mr. brown,123,m,NULL,1,0,,,Roughshod,1949,,
5389,Brooklyn,2015,31,nancy,335,f,NULL,1,0,,,The Third Man,1949,,
5389,Brooklyn,2015,31,patty,254,f,24,1,0,,,She Wore a Yellow Ribbon,1949,,
5389,Brooklyn,2015,31,rose,221,f,33,1,0,,,Sunset Blvd.,1950,1,0
5389,Brooklyn,2015,31,sheila,210,f,31,1,0,,,The Day The Earth Stood Still,1951,,
5389,Brooklyn,2015,31,tony,1500,m,25,1,0,,,Stalag 17,1953,,
5390,Carol,2015,0,abby gerhard,608,f,41,,,,,The War of the Worlds,1953,,
5390,Carol,2015,0,carol aird,3499,f,46,,,,,Julius Caesar,1953,1,0
5390,Carol,2015,0,dannie mcelroy,443,m,NULL,,,,,White Christmas,1954,,
5390,Carol,2015,0,fred haymes,300,m,57,,,,,Rear Window,1954,,
5390,Carol,2015,0,harge aird,383,m,50,,,,,On the Waterfront,1954,1,1
5390,Carol,2015,0,jack taft,216,m,NULL,,,,,Salt of the Earth,1954,,
5390,Carol,2015,0,jennifer aird,102,f,NULL,,,,,Seven Samurai,1954,,
5390,Carol,2015,0,phil mcelroy,149,m,NULL,,,,,Bad Day at Black Rock,1955,,
5390,Carol,2015,0,richard semco,853,m,NULL,,,,,The Man Who Knew Too Much,1956,,
5390,Carol,2015,0,therese belivet,2532,f,30,,,,,The Searchers,1956,,
5390,Carol,2015,0,tommy tucker,259,m,NULL,,,,,The Seventh Seal,1957,,
5396,Danny Collins,2015,5,boy band member,164,m,NULL,,,,,Sweet Smell of Success,1957,,
5396,Danny Collins,2015,5,danny collins,3683,m,75,,,,,An Affair to Remember,1957,,
5396,Danny Collins,2015,5,dr. ryan kurtz,229,m,52,,,,,Witness for the Prosecution,1957,1,0
5396,Danny Collins,2015,5,frank grubman,1266,m,86,,,,,Vertigo,1958,,
5396,Danny Collins,2015,5,guy deloach,153,m,45,,,,,Touch of Evil,1958,,
5396,Danny Collins,2015,5,hope donnelly,310,f,NULL,,,,,Some Like It Hot,1959,,
5396,Danny Collins,2015,5,mary sinclair,907,f,57,,,,,Sleeping Beauty,1959,,
5396,Danny Collins,2015,5,samantha leigh,576,f,43,,,,,North by Northwest,1959,,
5396,Danny Collins,2015,5,sophie,159,f,39,,,,,Anatomy of a Murder,1959,1,0
5396,Danny Collins,2015,5,tom donnelly,1200,m,45,,,,,L'Avventura,1960,,
5400,Ex Machina,2015,26,ava,1143,f,27,,,,,Peeping Tom,1960,,
5400,Ex Machina,2015,26,caleb,2715,m,32,,,,,Psycho,1960,,
5400,Ex Machina,2015,26,jay,159,m,54,,,,,The Apartment,1960,1,1
5400,Ex Machina,2015,26,nathan,3581,m,36,,,,,The Hustler,1961,1,0
5401,Far from the Madding Crowd,2015,12,bathsheba everd,2429,f,30,,,,,Viridiana,1961,,
5401,Far from the Madding Crowd,2015,12,fanny robbin,221,f,26,,,,,The Birds,1963,,
5401,Far from the Madding Crowd,2015,12,gabriel oak,1108,m,38,,,,,Nothing But a Man,1964,,
5401,Far from the Madding Crowd,2015,12,joseph poorgras,118,m,24,,,,,The Cincinnati Kid,1965,,
5401,Far from the Madding Crowd,2015,12,liddy,417,f,23,,,,,Orgy of the Dead,1965,,
5401,Far from the Madding Crowd,2015,12,sergeant franci,1209,m,30,,,,,The Battle of Algiers,1966,,
5401,Far from the Madding Crowd,2015,12,william boldwoo,1038,m,46,,,,,Fantastic Voyage,1966,,
5410,Grandma,2015,7,cam,153,m,21,,,,,El Dorado,1966,,
5410,Grandma,2015,7,deathy,250,f,31,,,,,Harper,1966,,
5410,Grandma,2015,7,doctor,209,f,54,,,,,Bonnie and Clyde,1967,1,0
5410,Grandma,2015,7,elle,4119,f,76,,,,,The Graduate,1967,1,0
5410,Grandma,2015,7,judy,631,f,56,,,,,Cool Hand Luke,1967,,
5410,Grandma,2015,7,karl,665,m,71,,,,,The Jungle Book,1967,,
5410,Grandma,2015,7,olivia,413,f,40,,,,,2001: A Space Odyssey,1968,,
5410,Grandma,2015,7,sage,1287,f,21,,,,,Petulia,1968,,
5417,I Smile Back,2015,0,bruce brooks,1980,m,44,,,,,Planet of the Apes,1968,,
5417,I Smile Back,2015,0,donny,516,m,39,,,,,The Wild Bunch,1969,,
5417,I Smile Back,2015,0,dr ge,216,m,NULL,,,,,Midnight Cowboy,1969,1,1
5417,I Smile Back,2015,0,eli brooks,485,m,NULL,,,,,Five Easy Pieces,1970,1,0
5417,I Smile Back,2015,0,janey brooks,188,f,NULL,,,,,The Private Life of Sherlock Holmes,1970,,
5417,I Smile Back,2015,0,laney brooks,3372,f,45,,,,,Beneath the Planet of the Apes,1970,,
5417,I Smile Back,2015,0,mr. odesky,231,m,NULL,,,,,The Rise and Rise of Michael Rimmer,1970,,
5417,I Smile Back,2015,0,mrs. mattingly,124,f,NULL,,,,,MASH,1970,1,0
5417,I Smile Back,2015,0,nurse uline,180,f,NULL,,,,,Catch-22,1970,,
5417,I Smile Back,2015,0,roger,284,m,73,,,,,"Happy Birthday, Wanda June",1971,,
5417,I Smile Back,2015,0,susan,124,f,NULL,,,,,The Hospital,1971,,
5417,I Smile Back,2015,0,zack,347,m,NULL,,,,,The French Connection,1971,1,1
5418,I'll See You in My Dreams,2015,7,bill,894,m,71,,,,,Klute,1971,,
5418,I'll See You in My Dreams,2015,7,carol petersen,4021,f,72,,,,,The Omega Man,1971,,
5418,I'll See You in My Dreams,2015,7,exterminator,169,m,NULL,,,,,A Clockwork Orange,1971,1,0
5418,I'll See You in My Dreams,2015,7,georgina,644,f,86,,,,,Harold and Maude,1971,,
5418,I'll See You in My Dreams,2015,7,katherine peter,696,f,37,,,,,THX 1138,1971,,
5418,I'll See You in My Dreams,2015,7,leslie,102,f,68,,,,,Willard,1971,,
5418,I'll See You in My Dreams,2015,7,lloyd,1220,m,33,,,,,Play Misty for Me,1971,,
5418,I'll See You in My Dreams,2015,7,mike,163,m,72,,,,,Two-Lane Blacktop,1971,,
5418,I'll See You in My Dreams,2015,7,rona,769,f,68,,,,,Vanishing Point,1971,,
5418,I'll See You in My Dreams,2015,7,sally,938,f,67,,,,,Duel,1971,,
5424,Inside Out,2015,367,anger,677,m,67,,,,,The Day the Clown Cried,1972,,
5424,Inside Out,2015,367,bing bong,990,m,59,,,,,The Getaway,1972,,
5424,Inside Out,2015,367,dad,325,m,56,,,,,Last Tango in Paris,1972,,
5424,Inside Out,2015,367,disgust,615,f,36,,,,,Cabaret,1972,1,0
5424,Inside Out,2015,367,fear,704,m,37,,,,,Conquest of the Planet of the Apes,1972,,
5424,Inside Out,2015,367,joy,2805,f,44,,,,,Deliverance,1972,1,0
5424,Inside Out,2015,367,mom,477,f,50,,,,,The Godfather,1972,1,1
5424,Inside Out,2015,367,sadness,939,f,64,,,,,The Poseidon Adventure,1972,,
5440,Me and Earl and the Dying Girl,2015,6,denise,212,f,51,,,,,Sounder,1972,1,0
5440,Me and Earl and the Dying Girl,2015,6,earl,1234,m,20,,,,,Jeremiah Johnson,1972,,
5440,Me and Earl and the Dying Girl,2015,6,greg,5388,m,24,,,,,American Graffiti,1973,1,0
5440,Me and Earl and the Dying Girl,2015,6,greg's dad,279,m,45,,,,,The Sting,1973,1,1
5440,Me and Earl and the Dying Girl,2015,6,greg's mom,577,f,48,,,,,Badlands,1973,,
5440,Me and Earl and the Dying Girl,2015,6,ill phil,147,m,22,,,,,The Exorcist,1973,1,0
5440,Me and Earl and the Dying Girl,2015,6,madison,432,f,NULL,,,,,Mean Streets,1973,,
5440,Me and Earl and the Dying Girl,2015,6,mr. mccarthy,278,m,38,,,,,Live and Let Die,1973,,
5440,Me and Earl and the Dying Girl,2015,6,rachel,1364,f,22,,,,,Magnum Force,1973,,
5442,Mississippi Grind,2015,0,cherry,140,f,NULL,,,,,The Long Goodbye,1973,,
5442,Mississippi Grind,2015,0,curtis,4170,m,39,,,,,Pat Garrett & Billy the Kid,1973,,
5442,Mississippi Grind,2015,0,dorothy,143,f,46,,,,,Serpico,1973,,
5442,Mississippi Grind,2015,0,gerry,3225,m,46,,,,,Enter the Dragon,1973,,
5442,Mississippi Grind,2015,0,sam,378,f,63,,,,,Chinatown,1974,1,0
5442,Mississippi Grind,2015,0,simone,547,f,34,,,,,Dark Star,1974,,
5442,Mississippi Grind,2015,0,track announcer,111,m,NULL,,,,,The Godfather: Part II,1974,1,1
5442,Mississippi Grind,2015,0,vanessa,242,f,27,,,,,The Parallax View,1974,,
5443,Mistress America,2015,2,anna wheeler,124,f,35,,,,,Young Frankenstein,1974,,
5443,Mistress America,2015,2,brooke,4172,f,32,,,,,Blazing Saddles,1974,,
5443,Mistress America,2015,2,dylan,871,m,38,,,,,The Yakuza,1974,,
5443,Mistress America,2015,2,karen,182,f,45,,,,,Barry Lyndon,1975,1,0
5443,Mistress America,2015,2,mamie-claire,1024,f,32,,,,,Dog Day Afternoon,1975,1,0
5443,Mistress America,2015,2,nicolette,265,f,NULL,,,,,The Rocky Horror Picture Show,1975,,
5443,Mistress America,2015,2,tony,869,m,NULL,,,,,Shivers,1975,,
5443,Mistress America,2015,2,tracy,3528,f,25,,,,,Jaws,1975,1,0
5443,Mistress America,2015,2,tracy's mom,434,f,50,,,,,Nashville,1975,1,0
5461,Remember,2015,0,charles gutman,214,m,56,,,,,Shampoo,1975,,
5461,Remember,2015,0,Gun Shop Owner,341,m,NULL,,,,,Mandingo,1975,,
5461,Remember,2015,0,holiday inn rec,126,f,NULL,,,,,Three Days of the Condor,1975,,
5461,Remember,2015,0,john kurlander,861,m,52,,,,,French Connection II,1975,,
5461,Remember,2015,0,kristen,194,f,NULL,,,,,The Stepford Wives,1975,,
5461,Remember,2015,0,max rosenbaum,484,m,87,,,,,The Wind and the Lion,1975,,
5461,Remember,2015,0,molly,189,f,NULL,,,,,Hard Times,1975,,
5461,Remember,2015,0,Retirement Home,221,m,56,,,,,Rocky,1976,1,1
5461,Remember,2015,0,rudy kurlander,313,m,74,,,,,Taxi Driver,1976,1,0
5461,Remember,2015,0,security guard,103,m,NULL,,,,,Logan's Run,1976,,
5461,Remember,2015,0,tyler,137,m,12,,,,,Network,1976,1,0
5461,Remember,2015,0,zev gutman,1460,m,86,,,,,Silver Streak,1976,,
5462,Room,2015,10,dr. mittal,230,m,NULL,1,0,,,The Outlaw Josey Wales,1976,,
5462,Room,2015,10,jack,1888,m,9,1,0,,,The Seven-Per-Cent Solution,1976,,
5462,Room,2015,10,laura,198,f,29,1,0,,,Obsession,1976,,
5462,Room,2015,10,lawyer,183,m,34,1,0,,,Family Plot,1976,,
5462,Room,2015,10,leo,274,m,60,1,0,,,All the President's Men,1976,1,0
5462,Room,2015,10,ma,3838,f,26,1,0,,,Annie Hall,1977,1,1
5462,Room,2015,10,nancy,714,f,59,1,0,,,Star Wars: Episode IV - A New Hope,1977,1,0
5462,Room,2015,10,old nick,381,m,47,1,0,,,Smokey and the Bandit,1977,,
5462,Room,2015,10,robert,198,m,65,1,0,,,The Goodbye Girl,1977,1,0
5462,Room,2015,10,talk show hoste,208,f,59,1,0,,,Rabid,1977,,
5467,Slow West,2015,0,jay cavendish,687,m,19,,,,,3 Women,1977,,
5467,Slow West,2015,0,payne,264,m,46,,,,,Rolling Thunder,1977,,
5467,Slow West,2015,0,silas selleck,227,m,38,,,,,The Hills Have Eyes,1977,,
5467,Slow West,2015,0,skelly,356,m,NULL,,,,,Days of Heaven,1978,,
5467,Slow West,2015,0,werner,173,m,46,,,,,The Deer Hunter,1978,1,1
5473,Steve Jobs,2015,18,andrea cunningh,214,f,NULL,,,,,Midnight Express,1978,1,0
5473,Steve Jobs,2015,18,andy hertzfeld,886,m,47,,,,,Jaws 2,1978,,
5473,Steve Jobs,2015,18,chrisann brenna,812,f,35,,,,,Halloween,1978,,
5473,Steve Jobs,2015,18,jandali,129,m,NULL,,,,,Capricorn One,1978,,
5473,Steve Jobs,2015,18,joanna hoffman,2997,f,40,,,,,An Unmarried Woman,1978,1,0
5473,Steve Jobs,2015,18,joel pforzheime,307,m,47,,,,,The Driver,1978,,
5473,Steve Jobs,2015,18,john sculley,1990,m,60,,,,,Alien,1979,,
5473,Steve Jobs,2015,18,lisa brennan (1,902,f,18,,,,,Apocalypse Now,1979,1,0
5473,Steve Jobs,2015,18,steve jobs,10443,m,38,,,,,Being There,1979,,
5473,Steve Jobs,2015,18,steve wozniak,1881,m,33,,,,,Breaking Away,1979,1,0
5476,Suffragette,2015,4,alice haughton,352,f,33,,,,,The Electric Horseman,1979,,
5476,Suffragette,2015,4,benedict haught,201,m,49,,,,,Hardcore,1979,,
5476,Suffragette,2015,4,david lloyd geo,206,m,NULL,,,,,The Jerk,1979,,
5476,Suffragette,2015,4,detective malco,105,m,NULL,,,,,Kramer vs. Kramer,1979,1,1
5476,Suffragette,2015,4,edith ellyn,794,f,49,,,,,Star Trek: The Motion Picture,1979,,
5476,Suffragette,2015,4,emily wilding d,156,f,35,,,,,Escape from Alcatraz,1979,,
5476,Suffragette,2015,4,hugh ellyn,183,m,56,,,,,Time After Time,1979,,
5476,Suffragette,2015,4,inspector arthu,956,m,60,,,,,Hanover Street,1979,,
5476,Suffragette,2015,4,maud watts,1751,f,30,,,,,Norma Rae,1979,1,0
5476,Suffragette,2015,4,norman taylor,318,m,52,,,,,Rocky II,1979,,
5476,Suffragette,2015,4,sonny watts,478,m,35,,,,,Hot Stuff,1979,,
5476,Suffragette,2015,4,violet miller,738,f,45,,,,,Old Boyfriends,1979,,
5484,The Diary of a Teenage Girl,2015,1,aline kominsky,152,f,NULL,,,,,Airplane!,1980,,
5484,The Diary of a Teenage Girl,2015,1,charlotte,1026,f,42,,,,,The Elephant Man,1980,1,0
5484,The Diary of a Teenage Girl,2015,1,chuck,180,m,NULL,,,,,Flash Gordon,1980,,
5484,The Diary of a Teenage Girl,2015,1,gretel,212,f,NULL,,,,,Friday the 13th,1980,,
5484,The Diary of a Teenage Girl,2015,1,kimmie,637,f,NULL,,,,,Ordinary People,1980,1,1
5484,The Diary of a Teenage Girl,2015,1,minnie,4457,f,23,,,,,Raging Bull,1980,1,0
5484,The Diary of a Teenage Girl,2015,1,monroe,1701,m,39,,,,,The Shining,1980,,
5484,The Diary of a Teenage Girl,2015,1,pascal,744,m,54,,,,,Star Wars: Episode V - The Empire Strikes Back,1980,,
5484,The Diary of a Teenage Girl,2015,1,tabatha,255,f,35,,,,,The Stunt Man,1980,,
5485,The End of the Tour,2015,3,david lipsky,3117,m,32,,,,,Coal Miner's Daughter,1980,1,0
5485,The End of the Tour,2015,3,julie,113,f,32,,,,,Melvin and Howard,1980,,
5485,The End of the Tour,2015,3,patty,191,f,53,,,,,Nine to Five,1980,,
5491,The Lady in the Van,2015,0,alan bennett,3951,m,58,,,,,Somewhere in Time,1980,,
5491,The Lady in the Van,2015,0,doctor at old p,152,m,36,,,,,Superman II,1980,,
5491,The Lady in the Van,2015,0,fiona perry,120,f,43,,,,,Prom Night,1980,,
5491,The Lady in the Van,2015,0,housekeeper at,155,f,64,,,,,Seems Like Old Times,1980,,
5491,The Lady in the Van,2015,0,"lois, social wo",114,f,31,,,,,Caddyshack,1980,,
5491,The Lady in the Van,2015,0,mam,307,f,76,,,,,My Bodyguard,1980,,
5491,The Lady in the Van,2015,0,"miss briscoe, s",198,f,NULL,,,,,American Gigolo,1980,,
5491,The Lady in the Van,2015,0,miss shepherd,2831,f,81,,,,,Private Benjamin,1980,,
5491,The Lady in the Van,2015,0,mr fairchild,184,m,NULL,,,,,Kagemusha,1980,,
5491,The Lady in the Van,2015,0,mrs. vaughan wi,147,f,71,,,,,Gloria,1980,,
5491,The Lady in the Van,2015,0,pauline,179,f,68,,,,,Motel Hell,1980,,
5491,The Lady in the Van,2015,0,rufus,250,m,62,,,,,An American Werewolf in London,1981,,
5491,The Lady in the Van,2015,0,underwood,297,m,66,,,,,Dragonslayer,1981,,
5496,The Big Short,2015,62,analyst,125,m,NULL,1,0,,,Raiders of the Lost Ark,1981,1,0
5496,The Big Short,2015,62,anthony bourdai,156,m,59,1,0,,,Arthur,1981,,
5496,The Big Short,2015,62,banker,112,f,NULL,1,0,,,Body Heat,1981,,
5496,The Big Short,2015,62,ben rickert,737,m,52,1,0,,,Escape from New York,1981,,
5496,The Big Short,2015,62,blackjack playe,136,m,NULL,1,0,,,The Great Muppet Caper,1981,,
5496,The Big Short,2015,62,charlie geller,1134,m,NULL,1,0,,,The Howling,1981,,
5496,The Big Short,2015,62,cynthia baum,445,f,51,1,0,,,On Golden Pond,1981,1,0
5496,The Big Short,2015,62,georgia hale,206,f,55,1,0,,,Thief,1981,,
5496,The Big Short,2015,62,jamie shipley,904,m,31,1,0,,,For Your Eyes Only,1981,,
5496,The Big Short,2015,62,jared vennett,1004,m,35,1,0,,,Scanners,1981,,
5496,The Big Short,2015,62,kathy tao,221,f,NULL,1,0,,,Halloween II,1981,,
5496,The Big Short,2015,62,lawrence fields,413,m,50,1,0,,,Ghost Story,1981,,
5496,The Big Short,2015,62,lewis ranieri,145,m,NULL,1,0,,,Modern Problems,1981,,
5496,The Big Short,2015,62,mark baum,374,m,53,1,0,,,Airplane II: The Sequel,1982,,
5496,The Big Short,2015,62,michael burry,1568,m,41,1,0,,,Fast Times at Ridgemont High,1982,,
5496,The Big Short,2015,62,mr. chau,146,m,NULL,1,0,,,The King of Comedy,1982,,
5496,The Big Short,2015,62,porter collins,253,m,39,1,0,,,TRON,1982,,
5496,The Big Short,2015,62,real estate age,122,f,NULL,1,0,,,48 Hrs.,1982,,
5496,The Big Short,2015,62,Richard Thaler,284,m,NULL,1,0,,,Blade Runner,1982,,
5496,The Big Short,2015,62,scarlett johans,170,f,31,1,0,,,Diner,1982,,
5496,The Big Short,2015,62,selena gomez,173,f,23,1,0,,,Frances,1982,,
5496,The Big Short,2015,62,Vinnie Daniel,685,m,NULL,1,0,,,Gandhi,1982,1,1
5499,Son of Saul,2015,0,abraham warszaw,412,m,NULL,,,,,The Verdict,1982,1,0
5499,Son of Saul,2015,0,dr. miklos nyis,161,m,54,,,,,Evil Under the Sun,1982,,
5499,Son of Saul,2015,0,oberkapo bieder,186,m,37,,,,,Friday the 13th Part III,1982,,
5499,Son of Saul,2015,0,oberscharfuhrer,160,m,NULL,,,,,An Officer and a Gentleman,1982,,
5499,Son of Saul,2015,0,saul auslander,468,m,NULL,,,,,Shoot the Moon,1982,,
5506,Trumbo,2015,0,arlen hird,757,m,48,,,,,Creepshow,1982,,
5506,Trumbo,2015,0,buddy ross,261,m,53,,,,,Star Trek II: The Wrath of Khan,1982,,
5506,Trumbo,2015,0,cleo trumbo,725,f,50,,,,,Rocky III,1982,,
5506,Trumbo,2015,0,Congressman,236,m,NULL,,,,,Tootsie,1982,1,0
5506,Trumbo,2015,0,Dalton Trumbo,3396,m,59,,,,,Scarface,1983,,
5506,Trumbo,2015,0,edward g. robin,681,m,47,,,,,Star Wars: Episode VI - Return of the Jedi,1983,,
5506,Trumbo,2015,0,frank king,449,m,63,,,,,Under Fire,1983,,
5506,Trumbo,2015,0,hedda hopper,853,f,70,,,,,Jaws 3-D,1983,,
5506,Trumbo,2015,0,Ian McLellan Hu,153,m,44,,,,,The Ploughman's Lunch,1983,,
5506,Trumbo,2015,0,john wayne,335,m,55,,,,,Something Wicked This Way Comes,1983,,
5506,Trumbo,2015,0,kirk douglas,268,m,39,,,,,Superman III,1983,,
5506,Trumbo,2015,0,louis b. mayer,140,m,68,,,,,Tender Mercies,1983,1,0
5506,Trumbo,2015,0,niki trumbo (ag,421,f,NULL,,,,,Terms of Endearment,1983,1,1
5506,Trumbo,2015,0,Otto Preminger,163,m,58,,,,,Octopussy,1983,,
5506,Trumbo,2015,0,robert kenny,148,m,NULL,,,,,The Keep,1983,,
5506,Trumbo,2015,0,robert striplin,178,m,NULL,,,,,Cujo,1983,,
5507,Truth,2015,2,andrew heyward,607,m,59,,,,,The Outsiders,1983,,
5507,Truth,2015,2,ben barnes,221,m,58,,,,,Trading Places,1983,,
5507,Truth,2015,2,betsy west,339,f,44,,,,,Risky Business,1983,,
5507,Truth,2015,2,dan rather,1932,m,79,,,,,Christine,1983,,
5507,Truth,2015,2,dick hibey,447,m,64,,,,,Psycho II,1983,,
5507,Truth,2015,2,general hodges,229,m,NULL,,,,,Local Hero,1983,,
5507,Truth,2015,2,josh howard,434,m,39,,,,,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,
5507,Truth,2015,2,larry lanpher,346,m,NULL,,,,,Amadeus,1984,1,1
5507,Truth,2015,2,lt. colonel bil,590,m,74,,,,,Bachelor Party,1984,,
5507,Truth,2015,2,Lt. Colonel Rog,816,m,61,,,,,Dune,1984,,
5507,Truth,2015,2,lucy scott,267,f,33,,,,,Gremlins,1984,,
5507,Truth,2015,2,marcel matley,199,m,57,,,,,Indiana Jones and the Temple of Doom,1984,,
5507,Truth,2015,2,mark wrolstad,256,m,52,,,,,A Nightmare on Elm Street,1984,,
5507,Truth,2015,2,mary mapes,3692,f,46,,,,,Purple Rain,1984,,
5507,Truth,2015,2,mike missal,169,m,NULL,,,,,Repo Man,1984,,
5507,Truth,2015,2,mike smith,1093,m,37,,,,,Starman,1984,,
5507,Truth,2015,2,nicki burkett,243,f,62,,,,,Blood Simple.,1984,,
5507,Truth,2015,2,reporter jim mo,154,m,50,,,,,Supergirl,1984,,
5507,Truth,2015,2,robert mapes,115,m,NULL,,,,,The Terminator,1984,,
5515,Woman in Gold,2015,34,adele bloch-bau,251,f,34,,,,,The Karate Kid,1984,,
5515,Woman in Gold,2015,34,arbitrator,114,m,51,,,,,Star Trek III: The Search for Spock,1984,,
5515,Woman in Gold,2015,34,elisabeth gehre,132,f,58,,,,,Once Upon a Time in America,1984,,
5515,Woman in Gold,2015,34,felix landau,195,m,44,,,,,Sixteen Candles,1984,,
5515,Woman in Gold,2015,34,ferdinand bloch,341,m,65,,,,,Children of the Corn,1984,,
5515,Woman in Gold,2015,34,fritz altmann,271,m,30,,,,,Firestarter,1984,,
5515,Woman in Gold,2015,34,hubertus czerni,1278,m,37,,,,,City Heat,1984,,
5515,Woman in Gold,2015,34,maria altmann,3477,f,70,,,,,Ghostbusters,1984,,
5515,Woman in Gold,2015,34,pharmacist,118,m,55,,,,,Moscow on the Hudson,1984,,
5515,Woman in Gold,2015,34,randy schoenber,3767,m,39,,,,,Choose Me,1984,,
5515,Woman in Gold,2015,34,ronald lauder,156,m,48,,,,,Brazil,1985,,
5515,Woman in Gold,2015,34,rudolph wran,114,m,56,,,,,Code of Silence,1985,,
5515,Woman in Gold,2015,34,sherman,202,m,69,,,,,Day of the Dead,1985,,
5515,Woman in Gold,2015,34,stan gould,129,m,60,,,,,Fletch,1985,,
5515,Woman in Gold,2015,34,therese bloch-b,258,f,44,,,,,Rambo: First Blood Part II,1985,,
5515,Woman in Gold,2015,34,young maria alt,929,f,30,,,,,Real Genius,1985,,
5517,Youth,2015,2,brenda morel,608,f,78,,,,,Silver Bullet,1985,,
5517,Youth,2015,2,doctor,186,m,60,,,,,Witness,1985,1,0
5517,Youth,2015,2,fred ballinger,2609,m,82,,,,,Agnes of God,1985,,
5517,Youth,2015,2,jimmy tree,505,m,31,,,,,The Breakfast Club,1985,,
5517,Youth,2015,2,julian,139,m,41,,,,,Kiss of the Spider Woman,1985,1,0
5517,Youth,2015,2,lena ballinger,1149,f,45,,,,,St. Elmo's Fire,1985,,
5517,Youth,2015,2,mick boyle,3262,m,76,,,,,Legend,1985,,
5517,Youth,2015,2,miss universe,138,f,27,,,,,A Room with a View,1985,,
5517,Youth,2015,2,queen's emissar,240,m,41,,,,,Silverado,1985,,
5517,Youth,2015,2,shy screenwrite,117,m,NULL,,,,,Clue,1985,,
6029,Pixels,2015,81,1982 championsh,110,m,63,,,,,The Black Cauldron,1985,,
6029,Pixels,2015,81,brenner,789,m,49,,,,,A Nightmare on Elm Street 2: Freddy's Revenge,1985,,
6029,Pixels,2015,81,scotty,156,m,NULL,,,,,Weird Science,1985,,
